date,close
2017-04-12,130300
2017-04-13,130300
2017-04-14,131060
2017-04-17,125830
2017-04-18,121970
2017-04-19,122340
2017-04-20,123100
2017-04-21,123480
2017-04-24,123480
2017-04-25,124240
2017-04-26,121280
2017-04-27,121970
2017-04-28,122720
2017-05-03,121590
2017-05-04,121970
2017-05-05,122340
2017-05-08,121280
2017-05-09,121360
2017-05-10,121440
2017-05-11,121510
2017-05-12,122720
2017-05-15,121280
2017-05-16,121440
2017-05-17,121660
2017-05-18,119010
2017-05-19,117040
2017-05-22,108860
2017-05-23,101280
2017-05-24,95450
2017-05-25,96590
2017-05-26,97720
2017-05-29,98480
2017-05-30,99240
2017-05-31,100000
2017-06-01,100000
2017-06-02,93560
2017-06-05,91660
2017-06-06,92040
2017-06-07,92270
2017-06-08,85830
2017-06-09,79850
2017-06-12,85380
2017-06-13,91290
2017-06-14,84920
2017-06-15,79010
2017-06-16,73480
2017-06-19,68410
2017-06-20,63860
2017-06-21,64390
2017-06-22,64620
2017-06-23,65150
2017-06-26,65530
2017-06-27,65910
2017-06-28,66290
2017-06-29,66660
2017-06-30,67040
2017-07-03,67420
2017-07-04,67910
2017-07-05,68330
2017-07-06,68750
2017-07-07,69160
2017-07-10,69580
2017-07-11,70000
2017-07-12,70410
2017-07-13,70830
2017-07-14,71250
2017-07-17,71830
2017-07-18,72500
2017-07-19,72910
2017-07-20,73330
2017-07-21,73750
2017-07-24,74160
2017-07-25,74580
2017-07-26,75000
2017-07-27,75410
2017-07-28,75830
2017-07-31,76250
2017-08-01,76660
2017-08-02,77080
2017-08-03,77500
2017-08-04,77910
2017-08-07,78330
2017-08-08,78750
2017-08-09,79160
2017-08-10,75410
2017-08-11,75830
2017-08-14,76250
2017-08-15,76660
2017-08-16,77080
2017-08-17,77500
2017-08-18,77910
2017-08-21,78330
2017-08-22,78830
2017-08-23,79410
2017-08-24,80410
2017-08-25,81660
2017-08-28,87330
2017-08-29,88330
2017-08-30,90830
2017-08-31,92500
2017-09-01,94160
2017-09-05,95660
2017-09-06,97330
2017-09-07,98580
2017-09-08,99410
2017-09-11,100410
2017-09-12,95000
2017-09-13,95830
2017-09-14,96750
2017-09-15,97500
2017-09-18,98160
2017-09-19,99080
2017-09-20,99660
2017-09-21,100250
2017-09-22,107250
2017-09-25,100250
2017-09-26,94080
2017-09-27,88080
2017-09-28,88660
2017-09-29,89250
2017-10-02,89830
2017-10-03,90410
2017-10-04,91000
2017-10-05,91660
2017-10-06,92250
2017-10-09,92830
2017-10-10,93410
2017-10-11,94000
2017-10-12,94500
2017-10-13,95160
2017-10-16,95750
2017-10-17,96250
2017-10-18,102910
2017-10-19,110080
2017-10-20,117750
2017-10-23,125660
2017-10-24,134410
2017-10-25,143330
2017-10-26,152830
2017-10-27,163330
2017-10-30,174740
2017-10-31,166660
2017-11-01,178330
2017-11-02,166910
2017-11-03,178410
2017-11-06,166910
2017-11-07,167160
2017-11-08,155740
2017-11-09,145160
2017-11-10,145490
2017-11-13,146740
2017-11-14,147990
2017-11-15,149160
2017-11-16,150330
2017-11-17,151660
2017-11-20,151160
2017-11-21,152240
2017-11-22,153410
2017-11-23,154410
2017-11-24,155240
2017-11-27,156410
2017-11-28,157580
2017-11-29,146830
2017-11-30,148080
2017-12-01,149080
2017-12-04,139990
2017-12-05,131240
2017-12-06,125740
2017-12-07,126830
2017-12-08,127910
2017-12-11,120160
2017-12-12,121000
2017-12-13,121830
2017-12-14,122580
2017-12-15,114080
2017-12-18,122000
2017-12-19,130490
2017-12-20,139580
2017-12-21,133580
2017-12-22,134990
2017-12-25,136240
2017-12-26,137910
2017-12-27,139410
2017-12-28,141660
2017-12-29,151410
2018-01-02,141240
2018-01-03,134990
2018-01-04,136660
2018-01-05,138080
2018-01-08,139330
2018-01-09,140660
2018-01-10,135410
2018-01-11,136910
2018-01-12,138160
2018-01-15,138160
2018-01-16,135410
2018-01-17,137330
2018-01-18,138580
2018-01-19,139830
2018-01-22,140830
2018-01-23,140830
2018-01-24,140830
2018-01-25,135830
2018-01-26,136660
2018-01-29,137910
2018-01-30,135830
2018-01-31,145330
2018-02-01,137160
2018-02-02,134990
2018-02-05,135740
2018-02-06,126240
2018-02-07,135080
2018-02-08,127910
2018-02-09,119580
2018-02-12,125000
2018-02-13,124330
2018-02-21,116660
2018-02-22,118250
2018-02-23,118580
2018-02-26,120250
2018-02-27,120330
2018-02-28,114330
2018-03-01,116500
2018-03-02,116830
2018-03-05,115830
2018-03-06,112500
2018-03-07,115830
2018-03-08,114910
2018-03-09,115580
2018-03-12,115500
2018-03-13,115500
2018-03-14,115000
2018-03-15,114000
2018-03-16,106080
2018-03-19,113500
2018-03-20,121410
2018-03-21,129830
2018-03-22,121000
2018-03-23,112580
2018-03-26,118330
2018-03-27,120000
2018-03-28,120250
2018-03-29,112250
2018-03-30,112500
2018-04-02,120330
2018-04-03,112160
2018-04-04,112500
2018-04-05,105000
2018-04-06,110000
2018-04-09,102330
2018-04-10,96000
2018-04-11,89330
2018-04-12,83330
2018-04-13,89160
2018-04-16,83500
2018-04-17,83750
2018-04-18,78160
2018-04-19,73000
2018-04-20,74410
2018-04-23,69500
2018-04-24,66750
2018-04-26,67000
2018-04-27,71660
2018-05-02,67830
2018-05-03,68580
2018-05-04,73300
2018-05-07,78400
2018-05-08,83800
2018-05-09,85000
2018-05-10,81900
2018-05-11,80500
2018-05-14,81500
2018-05-15,82400
2018-05-16,80000
